"","species","depth_effect","covariate","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"153","greenstriped rockfish",TRUE,"o2",-2.57436620044591,1.83537727636656,6.77322750221081,7.57799889852394,9.34759370265672,9.22982151341407,2.99573227355399,0,0.954221628767107,0.090403200886731
"154","pacific spiny dogfish",TRUE,"o2",-0.547732411090852,0.0808588569771549,2.37462534892575,0.156348544640663,2.9223577600166,0.185909660633145,2.99573227355399,0,0.531625516179449,0.0595925266424658
"155","petrale sole",TRUE,"o2",-1.79653852599948,0.24005131867487,2.91837865539551,0.221368770581005,4.71491718139499,0.428630926647768,2.99573227355399,0,0.820066571991663,0.032715328399174
"156","flathead sole",TRUE,"o2",-3.11291249861809,2.17675464420231,2.44231155995267,0.677308130159507,5.55522405857076,2.75850492333761,2.99573227355399,0,0.870384532292267,0.128723846974582
"157","english sole",TRUE,"o2",-1.69620832253373,0.226132789442289,3.10834685971999,0.25645890090842,4.80455518225372,0.44605850104233,2.99573227355399,0,0.826717933027493,0.0321752737222247
"158","sablefish",TRUE,"o2",-3.42645482917929,0.263485157934335,4.02989699308669,0.550870867980921,7.45635182226599,0.747126981465865,2.99573227355399,0,0.928053908124096,0.0144180070181223
"159","slender sole",TRUE,"o2",-5.55764028742191,0.799360159579905,1.81514835715496,0.20779343954075,7.37278864457686,0.759116469023691,2.99573227355399,0,0.926413792124296,0.0151531543854947
"160","dover sole",TRUE,"o2",-5.20358255756281,0.459353580424097,2.94732948610245,0.247982556404846,8.15091204366527,0.647242705316444,2.99573227355399,0,0.939792918172747,0.00956177524976857
"161","blackbelly eelpout",TRUE,"o2",-2.32217150620168,0.389187022260468,1.96311783591614,0.168648096724706,4.28528934211782,0.4510818708208,2.99573227355399,0,0.782179028937858,0.0458569227356564
"162","dungeness crab",TRUE,"o2",-3.57725126844128,1.15612009055889,6.26871544958276,2.18172231684833,9.84596671802403,3.25881986852416,2.99573227355399,0,0.958738666030038,0.0273133677563572
"163","spotted ratfish",TRUE,"o2",-1.43164619079908,0.112903505110986,3.0156600988068,0.189511461610551,4.44730628960588,0.246125034888637,2.99573227355399,0,0.797760533970678,0.0223848740747457
"164","big skate",TRUE,"o2",-0.905099822442195,0.206233590117249,3.02068193147658,0.343091045472565,3.92578175391878,0.502978951906978,2.99573227355399,0,0.740457976088046,0.0665060787104324
"165","pacific sanddab",TRUE,"o2",-1.46505289252724,0.222294034003031,3.19775449515506,0.28908120092041,4.66280738768229,0.475069300125959,2.99573227355399,0,0.816022361707891,0.0374890578123166
"166","rex sole",TRUE,"o2",-1.55227631189528,0.0746433535843947,2.32174961756581,0.0828486994576019,3.87402592946109,0.131497604486164,2.99573227355399,0,0.733476845429112,0.018093403092448
"167","arrowtooth flounder",TRUE,"o2",-1.63967656975127,0.133838897083386,2.21623168286066,0.118712843778154,3.85590825261193,0.217796660869202,2.99573227355399,0,0.730966347504463,0.0303921293434729
"168","longnose skate",TRUE,"o2",-3.08285063393415,0.205712658099353,2.63324967770762,0.169527192147393,5.71610031164177,0.320186287384158,2.99573227355399,0,0.877577763818301,0.0137149172195078
"169","sandpaper skate",TRUE,"o2",-1.39765812409549,0.0799045442964058,1.95072237043318,0.0963541697299666,3.34838049452867,0.138587128225916,2.99573227355399,0,0.643228310798139,0.0295330616813635
"170","lingcod",TRUE,"o2",-0.838269691791175,0.121890973896152,2.7283122148076,0.222924920656255,3.56658190659878,0.304635611359844,2.99573227355399,0,0.685547112364781,0.0537172846031598
"171","greenspotted rockfish",TRUE,"o2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","canary rockfish",TRUE,"o2",-6.17020955790307,26.5128552651571,14.2511463919861,132.600759582007,20.4213559498891,158.219445146794,2.99573227355399,0,0.990408404819407,0.148626454704579
"173","widow rockfish",TRUE,"o2",-0.142443992288231,0.222593611655346,2.89673068140119,0.939057773290496,3.03917467368942,0.887822032051445,2.99573227355399,0,0.566939404849949,0.253016544863994
"174","yellowtail rockfish",TRUE,"o2",-1.34207104411287,0.898456698500048,3.2511244100626,1.74663126050725,4.59319545417547,2.51239745220445,2.99573227355399,0,0.81040357737436,0.207411843847713
"175","kelp greenling",TRUE,"o2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","california slickhead",TRUE,"o2",-2.66743472673951,0.163864030426588,0.968691018483848,0.250809524868957,3.63612574522335,0.363793762834238,2.99573227355399,0,0.697460416977292,0.0605380677270123
"177","twoline eelpout",TRUE,"o2",-1.98998151047249,0.0873190991963501,1.10830565609988,0.271649246539138,3.09828716657237,0.294465660634212,2.99573227355399,0,0.583306568009397,0.079206284076498
"178","brown cat shark",TRUE,"o2",-5.27534119188103,0.797685084182277,2.984336938554,0.746009300137319,8.25967813043503,1.45992238241578,2.99573227355399,0,0.941368130253742,0.0207267105603157
"179","roughtail skate",TRUE,"o2",-2.39660361280877,0.129379604609268,0.630635620864741,0.137483847619178,3.02723923367351,0.237295451178369,2.99573227355399,0,0.563517833073631,0.0684288387782407
"180","deepsea sole",TRUE,"o2",-3.61326398820666,0.478448537543596,1.82566089175035,0.703142584885672,5.43892487995701,1.11850556428106,2.99573227355399,0,0.86478219859318,0.0556146174479155
"181","pacific grenadier",TRUE,"o2",-1.85994487529526,0.131420158416358,1.88003460306022,0.578872384349662,3.73997947835547,0.521239825622271,2.99573227355399,0,0.714029290448174,0.079711305178292
"182","giant grenadier",TRUE,"o2",-2.13498463657072,0.106707702426926,0.968569863121161,0.28928574560734,3.10355449969188,0.33368711821482,2.99573227355399,0,0.58471978666646,0.0892999672811688
"183","lanternfish unident.",TRUE,"o2",-7.02933709637408,1.99734439014188,3.77600413017991,1.4608565210726,10.805341226554,3.3360580805033,2.99573227355399,0,0.965740342343936,0.0211547614022437
"184","snakehead eelpout",TRUE,"o2",-4.96108382235697,1.12886867252577,-0.293781203610694,0.198267377543013,4.66730261874628,1.00330851704771,2.99573227355399,0,0.816376580748889,0.0789453590277595
"185","grooved tanner crab",TRUE,"o2",-4.3421073907512,0.536747829340227,0.366665983753373,0.123584321767094,4.70877337450457,0.570228400012602,2.99573227355399,0,0.819596726732194,0.0436933620248227
"186","pacific flatnose",TRUE,"o2",-1.43231195243295,0.0610915330657679,0.992122542496663,0.197618935412886,2.42443449492962,0.198123682770599,2.99573227355399,0,0.319482837875938,0.111223105124587
"187","longspine thornyhead",TRUE,"o2",-3.53767193113426,0.131548251636381,0.443221551848191,0.0787103966794756,3.98089348298245,0.186255018391904,2.99573227355399,0,0.747594463593591,0.0236187167662539
"188","shortspine thornyhead",TRUE,"o2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","bigfin eelpout",TRUE,"o2",-1.31891037728481,0.0670553262280331,1.76147916398964,0.100558034790152,3.08038954127444,0.127459276769033,2.99573227355399,0,0.578450371437109,0.0348854650095007
"190","black eelpout",TRUE,"o2",-1.89043171074308,0.0984139431374688,0.889945788323868,0.0847680612023662,2.78037749906695,0.137859747506767,2.99573227355399,0,0.48256898025721,0.0513116724314223
"191","darkblotched rockfish",TRUE,"o2",-0.914591423074852,0.15181020496946,1.44849521747989,0.106944702072296,2.36308664055474,0.210122042948482,2.99573227355399,0,0.283690515813751,0.12738628336137
"192","shortbelly rockfish",TRUE,"o2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","stripetail rockfish",TRUE,"o2",-0.243869725230553,0.0898109616205145,2.34888985705355,0.191353734175907,2.59275958228411,0.213846081510814,2.99573227355399,0,0.404974613190998,0.0981532173194905
"194","pacific hake",TRUE,"o2",-2.68364559507545,0.173950624114625,1.85192553060932,0.147206045651677,4.53557112568477,0.243890172699105,2.99573227355399,0,0.8055553368769,0.0209116519862103
"195","aurora rockfish",TRUE,"o2",-1.9183043247593,0.0991586983108642,0.673297393588708,0.0984594566583742,2.59160171834801,0.14368831997495,2.99573227355399,0,0.404442808989438,0.0660399409519275
"196","splitnose rockfish",TRUE,"o2",-1.49125856131733,0.247232605409707,2.88276233013001,0.519735684323675,4.37402089144734,0.602493784894089,2.99573227355399,0,0.790926839059783,0.0575970180210829
"197","chilipepper",TRUE,"o2",-0.381782445698493,0.136424029049008,2.27178005055769,0.210705986123509,2.65356249625618,0.278662535019492,2.99573227355399,0,0.431930659671617,0.119311033876984
"198","cowcod",TRUE,"o2",-0.793019226738491,0.34023004691527,1.82609588553782,0.314281740119515,2.61911511227631,0.525039246329915,2.99573227355399,0,0.41688955819709,0.233785728207432
"199","filetail cat shark",TRUE,"o2",-4.52957051080098,0.640828932655322,2.05568780098624,0.650097951668136,6.58525831178722,1.15400168093496,2.99573227355399,0,0.90776104777732,0.0323279363915381
"200","redbanded rockfish",TRUE,"o2",-0.510489657712231,0.09696897666885,1.34210939486732,0.108824631320217,1.85259905257955,0.163585897564368,2.99573227355399,0,-0.165459311650432,0.20582187743821
