"","species","covariate","depth_effect","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"82","kelp greenling","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","shortfin eelpout","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","shortspine thornyhead","temp",FALSE,-4.55807129712467,0.318389221668103,1.30077765348648,0.0871253388555475,5.85884895061115,0.293688782997698,2.99573227355399,0,0.883470632692378,0.0116826251560889
"85","northern rockfish","temp",FALSE,-4.34104391343133,0.999610676140246,4.4108859869734,1.0573400103121,8.75192990040473,1.85387369676491,2.99573227355399,0,0.947778140692648,0.0221237446980879
"86","redstripe rockfish","temp",FALSE,-0.627928292205563,0.101441734825072,1.96503474402811,0.227136036564951,2.59296303623367,0.21646591468066,2.99573227355399,0,0.405067985532922,0.0993323089337076
"87","southern rock sole","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","northern rock sole","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","sculpin unid.","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","octopus unid.","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","popeye grenadier","temp",FALSE,-2.27369875438521,NA,-1.18829871594454,NA,1.08540003844068,NA,2.99573227355399,NA,-2.39531698551829,NA
"92","Alaskan pink shrimp","temp",FALSE,-8.79011331964685,1.26543209194685,-0.575887954294743,0.525931636424619,8.2142253653521,0.768940360809989,2.99573227355399,0,0.940717465410115,0.011098973186091
"93","sidestripe shrimp","temp",FALSE,-9.77359758639678,1.9330010713679,-0.155616528373681,0.742405881779692,9.6179810580231,1.2226395604167,2.99573227355399,0,0.956759355698281,0.0109935176670134
"94","squid unid.","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","capelin","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","eulachon","temp",FALSE,-16.9901257000142,7.70782047654476,-1.05446047657865,3.32768941241526,15.9356652234356,4.42430428673903,2.99573227355399,0,0.984248584189055,0.00874630026640926
"97","shrimp unid.","temp",FALSE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.01668590453742,0.00811101372378087
"98","Pacific sandfish","temp",FALSE,0.289793761247962,0.579838331721025,10.2408757121216,2.11508069683026,9.95108195087365,1.81530775825273,2.99573227355399,0,0.959605765191599,0.0147376874591883
"99","sand lance unid.","temp",FALSE,1.06441996264353,0.631582819413277,8.3213680536354,1.88076542164112,7.25694809099186,1.3561177578698,2.99573227355399,0,0.92404577125718,0.0283873818833849
"100","spectacled sculpin","temp",FALSE,-3.01523908539145,1.00966775995269,4.06758879465079,2.26015016091051,7.08282788004224,2.85539917846617,2.99573227355399,0,0.920265437599386,0.0642890121940153
"101","yellow Irish lord","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","darkfin sculpin","temp",FALSE,-1.68488063646734,0.0733897543685944,1.20565119936176,0.0933004475779156,2.8905318358291,0.136485765137347,2.99573227355399,0,0.521254750735665,0.045210996012414
"103","scissortail sculpin","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","armorhead sculpin","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","spinyhead sculpin","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","bigmouth sculpin","temp",FALSE,-6.04638386675385,1.32525526963637,2.55285000402219,0.329377141469043,8.59923387077604,1.38074681881163,2.99573227355399,0,0.945907074451158,0.0173709974619026
"107","great sculpin","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","plain sculpin","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Pacific sleeper shark","temp",FALSE,-2.86799271505623,0.555324231085247,1.66661192501625,0.278147023463142,4.53460464007247,0.689702700654154,2.99573227355399,0,0.805472441889891,0.0591743681442781
"110","big skate","temp",FALSE,-0.158704215331984,0.275575196648648,9.85688842274333,1.06069965074274,10.0155926380753,0.903363279159887,2.99573227355399,0,0.960124449953555,0.00719320542477318
"111","longnose skate","temp",FALSE,-3.10846174964467,0.276080755968726,4.70209426933405,0.327139802679042,7.81055601897872,0.545427858912935,2.99573227355399,0,0.934431373233255,0.00915759534208515
"112","spiny dogfish","temp",FALSE,0.132246927067423,0.219955865769682,10.2594108423412,0.896459753290434,10.1271639152737,0.755386134447476,2.99573227355399,0,0.960998230389342,0.00581829152352756
